	NA		Sp_ds	Sp_hs	Sp_log	Sp_plat	
c2529_g1_i1	O94723	GO:0032543	655.44	141.99	34.17	1157.41	mitochondrial translation

c712_g1_i1	NA	GO:0032543	169.92	1267.58	385.45	86.12	mitochondrial translation

c2953_g1_i2	P79057	GO:0030529	442.51	1666.69	1709.06	123.91	ribonucleoprotein complex

c1948_g1_i2	P87143	GO:0046872	16.22	17.10	0.00	25.22	metal ion binding

c4517_g1_i1	Q9UTL8	GO:0031410	0.00	0.00	12.05	0.00	cytoplasmic vesicle

c1381_g1_i1	NA	GO:0031410	153.69	355.05	490.04	56.30	cytoplasmic vesicle

c2826_g1_i2	NA	GO:0031410	3.02	89.71	2.60	0.00	cytoplasmic vesicle

c6126_g1_i1	Q11004	GO:0043234	365.36	2400.00	474.43	26.93	protein complex

c3987_g1_i2	G2TRR9	GO:0008150	57.96	25.97	0.00	324.59	biological_process

c3660_g2_i1	Q92365	GO:0030529	582.40	2148.51	2358.76	281.78	ribonucleoprotein complex

c6130_g1_i1	O43090	GO:0055114	695.83	182.61	80.38	1575.00	oxidation-reduction process

c5918_g1_i1	Q9C0Y7	GO:0008150	411.87	3095.41	213.39	1531.79	biological_process

c4596_g1_i3	O94590	GO:0051286	0.00	0.00	0.00	26.01	cell tip

c5973_g1_i1	Q9USG6	GO:0030529	670.13	2760.32	2447.34	175.58	ribonucleoprotein complex

c6083_g1_i1	Q9HDX2	GO:0055114	75.56	1.82	11.24	174.22	oxidation-reduction process

c6161_g1_i1	Q9P7C0	GO:0032040	11.15	56.49	117.43	17.09	small-subunit processome

c1879_g1_i1	Q9US43	GO:0044206	21.47	46.05	5.13	79.41	UMP salvage

c5925_g1_i1	O43030	GO:0071629	189.06	4286.38	195.05	57.96	cytoplasm-associated proteasomal ubiquitin-dependent protein catabolic process

c2195_g1_i1	Q9P7G6	GO:0006974	40.65	38.37	135.73	10.64	cellular response to DNA damage stimulus

c231_g1_i2	O13788	GO:0045944	0.00	34.96	0.00	3.75	positive regulation of transcription from RNA polymerase II promoter

